2015	1	1	0	0	0
46
#
#name	mass	radius	x	y	z	vx	vy	vz
#    	Gg	km	AU	AU	AU	AU/d	AU/d	AU/d
Thebe	4.300000e+11	9.80000e+01	-3.727944224420272e+00	3.794149601133860e+00	6.760238538485773e-02	-1.344720056709389e-02	-1.591461804052251e-02	-4.047201226905227e-04
Io	8.931900e+16	3.60000e+03	-3.726623149674628e+00	3.790452913264984e+00	6.746145569624780e-02	4.561921236957450e-03	-4.538775809055884e-03	3.093871112311855e-04
Europa	4.800000e+16	3.12100e+03	-3.728521154873644e+00	3.797327406077929e+00	6.771527850538325e-02	-1.278410770256196e-02	-8.177639738729271e-03	-1.014652206304408e-04
Ganymede	1.481900e+17	5.26200e+03	-3.730848454301102e+00	3.799128385338245e+00	6.772786425532452e-02	-1.060280365684393e-02	-8.527884949744427e-03	-5.965988208628482e-05
Callisto	1.075900e+17	4.82000e+03	-3.739377815721199e+00	3.794060793830353e+00	6.741518811605211e-02	-5.772176297914529e-03	-9.624689352263302e-03	-1.052437875683846e-05
Himalia	6.700000e+12	1.70000e+02	-3.684056187822278e+00	3.845441442129484e+00	6.908704773969356e-02	-6.985595199478010e-03	-3.800307573128891e-03	1.193440345154189e-03
Saturn	5.683190e+20	5.82320e+04	-5.405313181367532e+00	-8.350093625723163e+00	3.603093868722011e-01	4.378243638798995e-03	-3.047908071577538e-03	-1.209045933391915e-04
Mimas	3.749300e+13	3.96400e+02	-5.404168395048829e+00	-8.350485772691703e+00	3.604388412408039e-01	7.133322067065151e-03	3.847518853806658e-03	-4.101541780238271e-03
Enceladus	1.080220e+14	5.04200e+02	-5.404294283276783e+00	-8.349059106212158e+00	3.596688999043494e-01	-1.177441033780434e-03	1.368134585210946e-03	-1.895409175562750e-03
Tethys	6.174490e+14	1.06200e+03	-5.403484042625271e+00	-8.350806127420681e+00	3.604740577959924e-01	6.731437583745685e-03	2.316323364685020e-03	-3.064201356474596e-03
Dione	1.095452e+15	1.12280e+03	-5.407645530813316e+00	-8.350840754907606e+00	3.609253360026582e-01	6.531185316003178e-03	-7.888667494786937e-03	2.205089256776170e-03
Rhea	2.306518e+15	1.52700e+03	-5.405001813635544e+00	-8.346987055738932e+00	3.586748196183052e-01	-4.843340416584470e-04	-2.473420745721890e-03	3.693761051589014e-05
Titan	1.345200e+17	5.15100e+03	-5.397628889946318e+00	-8.352053810760280e+00	3.605594423308084e-01	5.156318698733102e-03	-2.188750484707948e-04	-1.656665847769488e-03
Hyperion	5.620000e+12	2.70000e+02	-5.411933452286518e+00	-8.357437650667242e+00	3.646293036183347e-01	6.415267393039858e-03	-4.659271565580039e-03	4.859151642419697e-04
Iapetus	1.805635e+15	1.46860e+03	-5.418141411894304e+00	-8.369439340918523e+00	3.673823735796846e-01	5.926679638809898e-03	-4.054829721151417e-03	-1.992600268652760e-04
Phoebe	8.292000e+12	2.13000e+02	-5.467687995475867e+00	-8.393749161849348e+00	3.676962502657496e-01	3.656543565570845e-03	-2.207454361798391e-03	-3.083005317013040e-05
Uranus	8.681030e+19	2.53620e+04	1.930657051495468e+01	5.250507992762162e+00	-2.306220390711898e-01	-1.060869194208013e-03	3.611915584725836e-03	2.705221245666937e-05
Titania	3.526000e+15	7.88900e+02	1.930392391861793e+01	5.251230012752246e+00	-2.296147951489460e-01	-2.917881437989807e-04	3.716504512684117e-03	1.978737396492898e-03
Oberon	3.013000e+15	7.61400e+02	1.930358460927853e+01	5.250802676865716e+00	-2.331166356415043e-01	-2.167969263100597e-03	4.048287197840908e-03	1.403307824553852e-03
Umbriel	1.170000e+15	5.84700e+02	1.930747253903460e+01	5.250105620974987e+00	-2.321072174774069e-01	-3.310364041987716e-03	3.903913807596276e-03	-1.413366685510990e-03
Ariel	1.350000e+15	5.78900e+02	1.930645510286800e+01	5.250707295249825e+00	-2.293673108417937e-01	2.036767729830038e-03	2.986320659947155e-03	4.090829299534248e-04
Miranda	6.600000e+13	2.35800e+02	1.930630298535584e+01	5.250500323749612e+00	-2.314479548471516e-01	-4.667191768705670e-03	4.344501153003901e-03	1.183356219096729e-03
Neptune	1.024100e+20	2.46240e+04	2.752968718187136e+01	-1.184376071521960e+01	-3.905499561179341e-01	1.219336294315984e-03	2.902323585295688e-03	-8.750297354003632e-05
Triton	2.139400e+16	1.35340e+03	2.753095143975530e+01	-1.184190119599724e+01	-3.897966742883779e-01	2.962053502150426e-03	2.439543501635729e-03	-1.869912088883991e-03
Proteus	5.030000e+13	2.10000e+02	2.752969586101252e+01	-1.184302169336682e+01	-3.902823547985045e-01	-2.883762720805007e-03	2.398972492297324e-03	1.433901394772173e-03
Nereid	3.090000e+13	1.70000e+02	2.751604339109016e+01	-1.180063435785122e+01	-3.884341154003458e-01	9.994229465012361e-04	2.444723498962941e-03	-1.313169064239556e-04
Larissa	4.900000e+12	9.70000e+01	2.752930962292996e+01	-1.184354828182441e+01	-3.903182406984599e-01	-1.724096960587604e-03	-1.804198527311306e-03	-5.829621921345487e-04
Galatea	3.700000e+12	8.80000e+01	2.752955910231324e+01	-1.184340944406896e+01	-3.903718631309605e-01	-4.119349496918417e-03	3.116272589371352e-04	1.184035430467185e-03
Eris	1.660000e+16	1.16300e+03	8.687306905883030e+01	3.590882866832597e+01	-2.121516177863258e+01	-3.553074840013090e-04	9.084387489748722e-04	9.112754061040058e-04
Pluto	1.307000e+16	1.19500e+03	7.400602098050643e+00	-3.191989447822731e+01	1.274940397102193e+00	3.123848342295256e-03	7.893581061031275e-05	-9.006001291488385e-04
Charon	1.520000e+15	6.03500e+02	7.400692276120955e+00	-3.191984804303912e+01	1.274857517380576e+00	3.090762893732375e-03	-1.085501380867619e-05	-9.869090844322784e-04
Makemake	4.000000e+15	7.15000e+02	-4.601438823950285e+01	-3.516909999131247e-01	2.504073498342449e+01	-1.830212116713081e-04	-2.179755549104106e-03	-1.216630456096595e-04
Haumea	4.006000e+15	6.20000e+02	-4.187136508055651e+01	-1.616955680321321e+01	2.364311720443871e+01	1.018896316908702e-03	-1.939395167976867e-03	8.667732293293108e-05
